0,1,2
,CLASS,Primary/Basic 5
,SUBJECT,History
,TERM,Second Term
WEEK,TOPICS,Learning Objectives
1,REVISION,General revision of all the works of primary five first term and examination.
2-3,"NATIONALIST AND NATIONALISM IN NIGERIA -Meaning of nationalism -Meaning of a nationalist -Describe the characteristics of Nigerian nationalism. -Reasons for the growth of Nigerian Nationalism i.e. racial Britsh absolute economic monopoly, e.t,c. -Foremost Nigerian nationalists and their forms of nationalism.","By the end of the lesson, pupils should be able to: 1. Give the meaning of nationalism; 2. Explain the meaning of a nationalist; 3. Describe the characteristics of Nigerian nationalism; 4. Explain the reasons for the growth of Nigerian nationalism; 5. Examine foremost Nigerian nationalists and their forms of nationalism,"
4-5,"SOME NIGERIAN NATIONALISTS HERBERT MACAULAY -Who was Sir Herbert Heelas Olayinka Badmus -His various pioneering roles in Nigeria i.e. established first Nigeria political party – Nigerian National Democratic Party (NNDP) in 1925, First Surveyor, e.tc. -Established “Daily News’ -Death of Sir. Herbert Macaulay -Qualities of a good leader (nationalist)","By the end of the lesson, pupils should be able to: 1. Explain who Sir. Herbert Heelas Olayinka Badmus Macaulay; 2. Discuss his various pioneering roles in Nigeria; 3. Relate the death of Sir. Herbert Heelas Olayinka Badmus Macaulay; 4. Examine the qualities of a good nationalist (leader)"
6,Southern Nigerian and their Natuonalist,"By the end of the lesson, pupils should be able to: 1. Mention here southern Nigeria is found; 2. Give the names of foremost Nigerian nationalists in Southern Nigeria; 3. Discuss Dr. Nnamdi Azikiwe’s biography and nationalistic activities; 4. Explain Dr. Avan Ikoku’s biography and nationalistic activities; 5. Pupils as individuals are directed to research on the nationalistic activities and background of Chief Obafemi Awolowo. 6. Pupils in pairs examine and share the nationalistic activities of 7. Discuss other Southern Nigeria nationalists and their activities,"
7,MID TERM BREAK,MID TERM BREAK
8-9,"SOME NIGERIAN NATIONALIST -NORTHERN NIGERIA -Part of Nigeria -Northern part of Nigeria Foremost Nigerian Nationalist in Northern Nigeria Mallam Amino, Abubakar Balewa, Sir Ibrahim, J. S. Ahmadu Bello, -Background and activities of Ahmadu Bello and activities of Sir,Abubakar Tafawa Balewa background and activities of Tarka -Northern Nigerian their activities on Nigeria","By the end of the lesson, pupils should be able to: 1. State where Northern Nigeria can be found in Nigeria; 2. List the foremost Nigerian nationalists in Northern Nigeria; 3, Discuss the background and nationalistic activities of Sit Ahmadu Bello; 4. Explain the biography and nationalistic activities of Sir.Abubakar Tafawa Balewa; 5. Examine the background and nationalistic activities of Joseph. S. Tarka; 6. Relate the nationalistic activities of other Nigerian nationalists in Northern Nigeria and their impacts on Nigeria."
10-11,"NOTABLE FEMALE NIGERlAN Funnlayo Ransome Margaret Ekpo; Cambo Sawaba, background acüvities, and Nigeria. faced by Nigerian ofa female role model.","By the end of the lesson, pupils should be able to: 1. List notable female Nigerian nationalists; 2. Discuss their background, nationalistic activities and impacts on Nigeria; 3, Examine the challenges faced by Female Nigerian nationalists; 4. Relate the attibutes of a female leader and role model"
12,REVISION,General revision of all the work of the term
13,EXAMINATION,
