0,1,2
,CLASS,Primary/Basic 6
,SUBJECT,Civic Education
,TERM,Third Term
WEEK,TOPICS,Learning Objectives
1,Readiness test / loyalty Concept of National Unity Evidence of loyalty,By the end of the lesson pupils should be able to: 1. explain the concept of national unity 2. Demonstrate the concept of national unity 3. Analyze importance of national unity that promote national unity
2,Characteristics of National Unity,By the end of the lesson pupils should be able to: 1. Mention at least three characteristic of national unity e.g (l) one constitution (ii) common national goals (iii) Common national symbols. 2. Explain some of the characteristics 3. Analyze national symbols
3,-Factors that promote National Unity,By the end of the lesson pupils should be able to: 1. Identify five factors that promote national unity 2. Explain the factors that promotes national unity 3. Demonstrate some of the factors
4,Factors that promote National Unity (Continuation),By the end of the lesson pupils should be able to: 1. Identify five factors that promote national unity e.g (i) Peaceful co-existence (ii) Love (iii) Perseverance (iv) Understanding 2. explain factors that promote national unity 3. Demonstrate factors that promote national unity
5,Factors that hinder National Unity,By the end of the lesson pupils should be able to: 1. identify three factors that hinder national unity 2. explain factors that hinder national unity 3. demonstrate some of the factors that hinder national youth
6,Factors that hinder National Unity (Continuation),By the end of the lesson pupils should be able to: 1. itemize four factors that hinder national unity e.g -ethnicity -like of love -disloyalty 2. discuss that factor that hinders national unity 3. draw a map of Nigeria showing ethnic groups
7,MID TERM BREAK,
8,Solutions to the factors that hinder national unity,By the end of the lesson pupils should be able to: 1. identify the solution to the factors that hinder unity -Government policy -Lack of cooperation -Tribalism 2. explain the solution to the factors that hinders national unity 3. describe the government policy that can solve the problem of disunity
9,Revision,
10,Revision,
11-12,REVISION/EXAMINATION,REVISION/EXAMINATION
